,city,venue,dow,time,urls
0,(Austin),Black Star Co-Op Pub and Brewery,Monday,8:00 PM,https://www.geekswhodrink.com/venue/19199768/trivia-at-Black-Star-Co-Op-Pub-and-Brewery
1,(Dallas),Four Corners Brewing,Monday,5:00 PM,https://www.geekswhodrink.com/venue/771599801/trivia-at-Four-Corners-Brewing
2,(El Paso),"Glass Half Full (El Paso, Sunday)",Monday,5:00 PM,https://www.geekswhodrink.com/venue/613308526/trivia-at-Glass-Half-Full-El-Paso-Sunday-
3,(Wylie),Good Neighbor Brews,Monday,5:00 PM,https://www.geekswhodrink.com/venue/576262892/trivia-at-Good-Neighbor-Brews
4,(Grapevine),Grapevine Craft Brewery (Sunday),Monday,5:00 PM,https://www.geekswhodrink.com/venue/654369627/trivia-at-Grapevine-Craft-Brewery-Sunday-
5,(Austin),The Cavalier,Monday,7:00 PM,https://www.geekswhodrink.com/venue/859909510/trivia-at-The-Cavalier
6,(Austin),The Highball,Monday,7:00 PM,https://www.geekswhodrink.com/venue/16729898/trivia-at-The-Highball
7,(Houston),Town in City Brewing Company (Sunday),Monday,6:00 PM,https://www.geekswhodrink.com/venue/461210058/trivia-at-Town-in-City-Brewing-Company-Sunday-
8,(Denton),Vetted Well (Denton),Monday,7:00 PM,https://www.geekswhodrink.com/venue/882376710/trivia-at-Vetted-Well-Denton-
9,(Austin),400 Rabbits at Alamo Drafthouse Slaughter Lane,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/37034165/trivia-at-400-Rabbits-at-Alamo-Drafthouse-Slaughte
10,(Denton),Armadillo Ale Works,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/870807836/trivia-at-Armadillo-Ale-Works
11,(Austin),Austin Eastciders Collaboratory,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/736622458/trivia-at-Austin-Eastciders-Collaboratory
12,(Houston),Cedar Creek,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/18587205/trivia-at-Cedar-Creek
13,(Houston),Christian's Tailgate (Midtown),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/37051959/trivia-at-Christian-s-Tailgate-Midtown-
14,(Corpus Christi),Executive Surf Club,Tuesday,7:30 PM,https://www.geekswhodrink.com/venue/20762997/trivia-at-Executive-Surf-Club
15,(League City),Fuzzy's Taco Shop (League City),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/576248653/trivia-at-Fuzzy-s-Taco-Shop-League-City-
16,(Austin),Glass Half Full (Lakeline),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/164279323/trivia-at-Glass-Half-Full-Lakeline-
17,(Richardson),Glass Half Full (Richardson) (Monday),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/595860135/trivia-at-Glass-Half-Full-Richardson-Monday-
18,(Austin),Gourdough's Public House (South Lamar),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/40774511/trivia-at-Gourdough-s-Public-House-South-Lamar-
19,(Austin),Growler USA (Austin),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/740178717/trivia-at-Growler-USA-Austin-
20,(Houston),Handlebar Houston,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/813515030/trivia-at-Handlebar-Houston
21,(Dallas),High Fives,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/304441971/trivia-at-High-Fives
22,(Dallas),Ill Minister Pub,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/852582039/trivia-at-Ill-Minister-Pub
23,(Austin),Javelina,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/530191843/trivia-at-Javelina
24,(Buda),Nate's at Buda Mill and Grain,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/493454810/trivia-at-Nate-s-at-Buda-Mill-and-Grain
25,(Houston),Pimlico,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/275361127/trivia-at-Pimlico
26,(Corpus Christi),South Texas Ice House,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/853426844/trivia-at-South-Texas-Ice-House
27,(San Antonio),Southtown 101 (Monday),Tuesday,7:00 PM,https://www.geekswhodrink.com/venue/37246364/trivia-at-Southtown-101-Monday-
28,(Flower Mound),State Draft House,Tuesday,7:00 PM,https://www.geekswhodrink.com/venue/708433838/trivia-at-State-Draft-House
