city,venue,dow,time,urls,formatted_address,geometry.location.lat,geometry.location.lng,types
(Austin),Black Star Co-Op Pub and Brewery,Sunday,8:00 PM,https://www.geekswhodrink.com/venue/19199768/trivia-at-Black-Star-Co-Op-Pub-and-Brewery,"7020 Easy Wind Dr, Austin, TX 78752, USA",30.3382593,-97.7188884,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),The Cavalier,Sunday,7:00 PM,https://www.geekswhodrink.com/venue/859909510/trivia-at-The-Cavalier,"2400 Webberville Rd suite a, Austin, TX 78702, USA",30.2629229,-97.7146757,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),The Highball,Sunday,7:00 PM,https://www.geekswhodrink.com/venue/16729898/trivia-at-The-Highball,"1120 S Lamar Blvd, Austin, TX 78704, USA",30.25620139999999,-97.7631672,"['bar', 'establishment', 'night_club', 'point_of_interest']"
(Austin),400 Rabbits at Alamo Drafthouse Slaughter Lane,Monday,8:00 PM,https://www.geekswhodrink.com/venue/37034165/trivia-at-400-Rabbits-at-Alamo-Drafthouse-Slaughte,"5701 W Slaughter Ln, Austin, TX 78739, USA",30.1989862,-97.86898269999999,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Austin Eastciders Collaboratory,Monday,8:00 PM,https://www.geekswhodrink.com/venue/736622458/trivia-at-Austin-Eastciders-Collaboratory,"979 Springdale Rd Ste. 130, Austin, TX 78702, USA",30.2627334,-97.69617129999999,"['bar', 'establishment', 'point_of_interest']"
(Austin),Glass Half Full (Lakeline),Monday,8:00 PM,https://www.geekswhodrink.com/venue/164279323/trivia-at-Glass-Half-Full-Lakeline-,"14028 US-183, Austin, TX 78717, USA",30.4754981,-97.8043132,"['bar', 'establishment', 'point_of_interest']"
(Austin),Gourdough's Public House (South Lamar),Monday,8:00 PM,https://www.geekswhodrink.com/venue/40774511/trivia-at-Gourdough-s-Public-House-South-Lamar-,"2700 S Lamar Blvd, Austin, TX 78704, USA",30.2453848,-97.78044709999999,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Growler USA (Austin),Monday,8:00 PM,https://www.geekswhodrink.com/venue/740178717/trivia-at-Growler-USA-Austin-,"609 W 29th St, Austin, TX 78705, USA",30.2953309,-97.74344549999999,"['bar', 'establishment', 'food', 'liquor_store', 'point_of_interest', 'restaurant', 'store']"
(Austin),Javelina,Monday,8:00 PM,https://www.geekswhodrink.com/venue/530191843/trivia-at-Javelina,"69 Rainey St, Austin, TX 78701, USA",30.2580205,-97.73878429999999,"['bar', 'establishment', 'point_of_interest']"
(Austin),Barrel O' Fun (Alamo Drafthouse Mueller),Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/568505118/trivia-at-Barrel-O-Fun-Alamo-Drafthouse-Mueller-,"1911 Aldrich St Suite 120B, Austin, TX 78723, USA",30.2983308,-97.7045905,"['bar', 'establishment', 'point_of_interest']"
(Austin),Big Daddy's Burgers and Bar,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/156120402/trivia-at-Big-Daddy-s-Burgers-and-Bar,"9070 Research Blvd #101, Austin, TX 78758, USA",30.3734367,-97.7283234,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Celis Brewery,Tuesday,7:00 PM,https://www.geekswhodrink.com/venue/688089768/trivia-at-Celis-Brewery,"10001 Metric Blvd, Austin, TX 78758, USA",30.3797278,-97.7159854,"['bar', 'establishment', 'food', 'point_of_interest']"
(Austin),Craft Pride,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/251505721/trivia-at-Craft-Pride,"61 Rainey St, Austin, TX 78701, USA",30.257934,-97.738896,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Gibson Bar,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/37069574/trivia-at-Gibson-Bar,"1109 S Lamar Blvd, Austin, TX 78704, USA",30.2550175,-97.7619162,"['bar', 'establishment', 'point_of_interest']"
(Austin),Lustre Pearl East,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/407138600/trivia-at-Lustre-Pearl-East,"114 Linden St, Austin, TX 78702, USA",30.2530328,-97.7107212,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']"
(Austin),Moontower Saloon,Tuesday,8:00 PM,https://www.geekswhodrink.com/venue/31603338/trivia-at-Moontower-Saloon,"10212 Manchaca Rd, Austin, TX 78748, USA",30.169276,-97.82664299999999,"['bar', 'establishment', 'point_of_interest']"
